scientific_name,family,genus,image_count,common_name,dataset_source,is_viable,is_recommended,class_id
Lethrinus punctulatus,Lethrinidae,Lethrinus,6095,Bluespotted emperor,OzFish,True,True,0
Pterocaesio digramma,Caesionidae,Pterocaesio,3172,,OzFish,True,True,1
Lethrinus atkinsoni,Lethrinidae,Lethrinus,2635,Pacific yellowtail emperor,OzFish,True,True,2
Lutjanus sebae,Lutjanidae,Lutjanus,2338,Red emperor,OzFish,True,True,3
Thalassoma lutescens,Labridae,Thalassoma,2007,Sunset wrasse,OzFish,True,True,4
Lethrinus rubrioperculatus,Lethrinidae,Lethrinus,1782,Spotcheek emperor,OzFish,True,True,5
Thalassoma lunare,Labridae,Thalassoma,1725,Moon wrasse,OzFish,True,True,6
Pomacentrus coelestis,Pomacentridae,Pomacentrus,1693,Neon damselfish,OzFish,True,True,7
Lutjanus vitta,Lutjanidae,Lutjanus,1435,Brownstripe red snapper,OzFish,True,True,8
Melichthys niger,Balistidae,Melichthys,1338,,OzFish,True,True,9
Cirrhilabrus temminckii,Labridae,Cirrhilabrus,1256,,OzFish,True,True,10
Carangoides gymnostethus,Carangidae,Carangoides,1202,,OzFish,True,True,11
Carangoides fulvoguttatus,Carangidae,Carangoides,1153,,OzFish,True,True,12
Siganus fuscescens,Siganidae,Siganus,1142,Mottled spinefoot,OzFish,True,True,13
Acanthurus triostegus,Acanthuridae,Acanthurus,1088,Convict surgeonfish,OzFish,True,True,14
Epinephelus areolatus,Serranidae,Epinephelus,998,Areolate grouper,OzFish,True,True,15
Pentapodus porosus,Nemipteridae,Pentapodus,930,,OzFish,True,True,16
Pterocaesio tile,Caesionidae,Pterocaesio,846,Dark-banded fusilier,OzFish,True,True,17
Chromis viridis,Pomacentridae,Chromis,754,Blue-green chromis,OzFish,True,True,18
Epinephelus multinotatus,Serranidae,Epinephelus,675,,OzFish,True,True,19
Acanthurus grammoptilus,Acanthuridae,Acanthurus,674,,OzFish,True,True,20
Ctenochaetus striatus,Acanthuridae,Ctenochaetus,664,,OzFish,True,True,21
Lethrinus nebulosus,Lethrinidae,Lethrinus,650,Spangled emperor,OzFish,True,True,22
Siganus argenteus,Siganidae,Siganus,633,Streamlined spinefoot,OzFish,True,True,23
Chlorurus sordidus,Scaridae,Chlorurus,619,Daisy parrotfish,OzFish,True,True,24
Coris caudimacula,Labridae,Coris,616,,OzFish,True,True,25
Abudefduf sexfasciatus,Pomacentridae,Abudefduf,606,,OzFish,True,True,26
Labroides dimidiatus,Labridae,Labroides,578,,OzFish,True,True,27
Thalassoma amblycephalum,Labridae,Thalassoma,549,,OzFish,True,True,28
Abalistes stellatus,Balistidae,Abalistes,543,,OzFish,True,True,29
Pseudojuloides severnsi,Labridae,Pseudojuloides,512,,OzFish,True,True,30
Pentapodus nagasakiensis,Nemipteridae,Pentapodus,511,,OzFish,True,True,31
Parupeneus multifasciatus,Mullidae,Parupeneus,472,,OzFish,True,True,32
Lutjanus bohar,Lutjanidae,Lutjanus,438,Two-spot red snapper,OzFish,True,True,33
Atule mate,Carangidae,Atule,437,,OzFish,True,True,34
Scarus prasiognathos,Scaridae,Scarus,433,,OzFish,True,True,35
Carcharhinus melanopterus,Carcharhinidae,Carcharhinus,426,Blacktip reef shark,OzFish,True,True,36
Cirrhilabrus morrisoni,Labridae,Cirrhilabrus,421,,OzFish,True,True,37
Mulloidichthys flavolineatus,Mullidae,Mulloidichthys,414,,OzFish,True,True,38
Alepes vari,Carangidae,Alepes,402,,OzFish,True,True,39
Chaetodon auriga,Chaetodontidae,Chaetodon,396,Threadfin butterflyfish,OzFish,True,True,40
Sufflamen fraenatum,Balistidae,Sufflamen,371,,OzFish,True,True,41
Choerodon cyanodus,Labridae,Choerodon,366,,OzFish,True,True,42
Carangoides orthogrammus,Carangidae,Carangoides,354,,OzFish,True,True,43
Plectropomus maculatus,Serranidae,Plectropomus,348,,OzFish,True,True,44
Naso annulatus,Acanthuridae,Naso,346,,OzFish,True,True,45
Odonus niger,Balistidae,Odonus,342,Redfang triggerfish,OzFish,True,True,46
Parupeneus cyclostomus,Mullidae,Parupeneus,323,,OzFish,True,True,47
Carcharhinus amblyrhynchos,Carcharhinidae,Carcharhinus,320,Grey reef shark,OzFish,True,True,48
Parupeneus indicus,Mullidae,Parupeneus,320,Indian goatfish,OzFish,True,True,49
Scarus schlegeli,Scaridae,Scarus,309,,OzFish,True,True,50
Epinephelus fasciatus,Serranidae,Epinephelus,307,Blacktip grouper,OzFish,True,True,51
Chromis fumea,Pomacentridae,Chromis,301,,OzFish,True,True,52
Epinephelus rivulatus,Serranidae,Epinephelus,298,,OzFish,True,True,53
Naso lituratus,Acanthuridae,Naso,296,Orangespine unicornfish,OzFish,True,True,54
Caranx melampygus,Carangidae,Caranx,294,Bluefin trevally,OzFish,True,True,55
Trachurus novaezelandiae,Carangidae,Trachurus,292,,OzFish,True,True,56
Choerodon cauteroma,Labridae,Choerodon,290,,OzFish,True,True,57
Bodianus solatus,Labridae,Bodianus,288,,OzFish,True,True,58
Selaroides leptolepis,Carangidae,Selaroides,286,,OzFish,True,True,59
Gnathanodon speciosus,Carangidae,Gnathanodon,284,,OzFish,True,True,60
